client_id,Product_ID,Session_Length_min,View_Count,Purchased
Store_1,6844,5.940571406946213,12,0
Store_1,2800,8.764357101213092,7,1
Store_1,6075,4.297026393249695,19,1
Store_1,3117,4.849446496447697,8,0
Store_1,6947,3.2695787992925327,2,1
Store_1,5393,6.745757899837573,2,1
Store_1,8516,3.2196108535553147,2,0
Store_1,6665,3.5741631795142657,9,1
Store_1,2078,1.883491925541843,17,0
Store_1,7375,3.923271819115972,19,1
Store_1,4278,8.60992504616271,1,0
Store_1,6672,4.5672403236435315,12,0
Store_1,3297,4.532820535444002,7,0
Store_1,9142,6.953965615323913,12,0
Store_1,8257,6.302374237805448,11,1
Store_1,8614,4.881600556690861,16,0
Store_1,6129,6.55154444305815,4,0
Store_1,8197,7.163907881533657,1,1
Store_1,2176,4.073134172038407,8,0
Store_1,2350,2.355457042817647,14,0
Store_1,6243,2.91191802300348,2,0
Store_1,3533,4.785662455334218,7,1
Store_1,6351,3.985254900246024,13,1
Store_1,4388,6.225538409277742,17,0
Store_1,8247,7.0792646586022325,3,0
Store_1,4592,2.92697473848282,14,0
Store_1,3747,1.3324185169182678,16,1
Store_1,6674,4.5559922820172805,17,0
Store_1,6579,7.159966339268403,3,0
Store_1,9299,2.6154851820124203,1,1
Store_1,5945,6.626400433774335,19,0
Store_1,1805,5.88204563364305,9,1
Store_1,4600,7.769697562697216,10,0
Store_1,3456,2.086434592501786,17,0
Store_1,7349,4.142895717257877,9,1
Store_1,8037,4.097506574007662,15,1
Store_1,6745,5.520513127247304,9,1
Store_1,1301,6.742568603771117,1,1
Store_1,5161,6.435061032801358,7,0
Store_1,9152,3.0154605737440106,18,1
Store_1,4340,4.871847365319969,11,0
Store_1,1092,1.1922229362960297,16,0
Store_1,9126,3.4440616727606734,9,0
Store_1,7867,6.699713003475647,1,0
Store_1,7301,5.821390627555056,13,1
Store_1,5627,2.6255591805142213,7,0
Store_1,1468,7.3451810661946295,19,1
Store_1,4807,5.909598911347607,1,0
Store_1,4345,3.136466582307527,10,0
Store_1,2884,5.564435509941285,11,0
Store_1,8642,1.8907930246089593,3,1
Store_1,5466,5.627335395196166,4,0
Store_1,9413,4.844065216066404,7,0
Store_1,2542,4.434539970412196,14,1
Store_1,5406,1.7459961544369054,18,0
Store_1,2538,7.525251704698096,2,0
Store_1,2425,-0.8244765925152784,6,0
Store_1,3363,5.69125434837686,4,1
Store_1,2451,6.422799299037501,8,1
Store_1,7830,4.027967849207131,11,1
Store_1,1503,6.112328873101639,4,1
Store_1,2897,6.448933156731839,5,0
Store_1,9842,7.526728169901839,12,0
Store_1,4820,6.614838364764856,17,0
Store_1,3843,5.613164633448787,3,0
Store_1,4860,4.402498331636328,13,0
Store_1,6999,4.135723772862448,18,0
Store_1,1434,5.243183079148025,2,1
Store_1,8806,9.382051879582304,18,1
Store_1,7023,7.93045933989001,17,1
Store_1,4512,2.9122231198999557,3,0
Store_1,2844,7.581321047971236,3,1
Store_1,5881,2.365426072695168,14,1
Store_1,9695,4.779744641237504,14,0
Store_1,9728,5.87661923118386,19,0
Store_1,4269,1.4855400342232437,2,0
Store_1,8062,6.730749941193129,19,0
Store_1,8313,3.8266118375746836,5,0
Store_1,3158,2.7266412141680694,4,0
Store_1,9153,5.409733506879763,12,0
