client_id,Age,Annual_Income,Loan_Amount,Credit_Score,Payment_History,Active_Accounts,Total_Debt,Loan_Default
Bank_A,49,63425.868154923664,22172.54053894239,576.4084148481378,1,8,47712.20975473366,0
Bank_A,45,59129.81714614681,34923.830337793595,682.911194495621,4,13,54388.472839261136,0
Bank_A,62,34587.382825057066,36690.466358701466,617.2077951033233,7,6,36077.4226733203,0
Bank_A,21,40962.67098621662,14681.283991771745,722.2564648330092,2,15,44257.98392114298,0
Bank_A,31,10166.002394252428,13592.270477556383,616.4127236166795,4,7,46349.516094945895,0
Bank_A,29,61651.05831223436,33285.92459014702,621.8734911731991,8,14,15325.481783282601,0
Bank_A,33,67931.87611777952,28642.70296402597,648.4700905065762,8,6,26586.7834174467,0
Bank_A,22,38822.33057724041,38884.36116039816,633.626262912406,13,15,35859.99562748933,0
Bank_A,65,71822.36396514528,20788.817776101045,798.8378265619087,9,11,54800.84095823304,0
Bank_A,61,55575.360703448416,32097.10383401611,664.7912527071769,3,22,25597.061689106376,0
Bank_A,40,44499.44934699801,18535.63061890305,710.1572118005723,6,11,20663.784063253715,0
Bank_A,51,24843.281047674165,12982.936103284397,699.3063046905618,10,20,48415.31620849049,0
Bank_A,55,97361.55071845191,22951.140892414107,536.3281843576831,7,1,36671.629285794144,1
Bank_A,50,70432.0237220262,8098.898840185346,685.9396144410445,15,11,51168.57691777534,0
Bank_A,64,78281.65311704024,17468.980555059443,557.0395493808795,3,6,17164.20949682451,0
Bank_A,42,78475.55239949102,19741.825720673092,602.9211929374394,8,13,29105.679422580826,0
Bank_A,61,51555.371653347465,33016.3033201483,644.1790535130958,7,14,28193.35778042762,0
Bank_A,67,40971.72908006744,25060.812320512963,627.4120699150785,7,2,48579.62486382073,0
Bank_A,32,69711.623505017,9477.98645051211,840.3577792087472,2,9,31620.88327909029,0
Bank_A,26,74356.3486855941,17355.238616571303,622.5337953165517,14,17,48678.72557577047,0
Bank_A,59,88284.74290440729,32838.77034456678,714.3291612579843,6,24,-2188.8380288060725,0
Bank_A,36,59951.89489306445,10367.456829373361,641.2995303899231,8,6,42381.39608313238,0
Bank_A,64,40680.18290972734,29676.70622582004,786.7924189318371,5,19,27731.84708792096,0
Bank_A,27,57056.31908787497,24995.23748595929,782.0356455779083,1,20,42349.68145353123,0
Bank_A,63,52307.49835154114,15425.67840054519,771.2684493565764,6,20,51535.45958686224,0
Bank_A,52,68873.90806760301,15416.862347019447,615.0210910426363,9,15,30742.204581285667,0
Bank_A,44,47587.21558309664,24672.02996248944,470.9203746593055,7,7,57752.52740604205,0
Bank_A,42,50523.4211935364,23061.669146378965,753.5875291308328,9,24,37482.55371842564,0
Bank_A,53,50590.25644776909,31579.093224112643,719.2473086460209,14,4,34564.16069570295,0
Bank_A,67,66158.50887227681,7316.734987291868,840.4855389943227,14,14,34267.62869126624,0
Bank_A,24,50524.62667005927,14135.869750440337,824.1722898464611,1,23,48003.66479738962,0
Bank_A,60,41172.50916819481,18394.257368289625,665.7449309035255,8,23,25617.356602377353,0
Bank_A,69,43104.79407157949,4673.641363374332,595.0267121520136,12,1,24305.971721766356,0
Bank_A,44,53501.53623682834,509.7284709155465,735.0391966650061,14,10,42745.32831177119,0
Bank_A,47,36686.54399875819,23424.749978994234,790.2436525263424,12,5,51583.554713606805,0
Bank_A,59,68445.70062237933,28568.953772908146,535.4784351575122,11,14,36487.728400828964,0
Bank_A,47,42183.15783368974,33509.16229385892,643.7839543595185,12,7,28391.05977346219,0
Bank_A,26,52206.21534472339,33883.975829358926,713.9755063071232,11,13,5177.72694781622,0
Bank_A,43,69612.12825484235,20632.903253411707,555.7302324844964,7,16,27424.155101693133,0
Bank_A,64,87346.6857231621,23162.98258854489,644.0799680758463,12,18,45282.27175556842,0
Bank_A,55,60830.963072774546,17459.86827132092,732.6672073767036,12,17,33343.472877721324,0
Bank_A,44,72098.77979833874,36069.61945472653,651.2731281328815,7,12,23926.566199583314,0
Bank_A,59,78488.14565197777,18355.698312982135,583.8525159662825,3,13,41236.3392315465,0
Bank_A,68,88960.04283441702,29553.928025816167,697.3436063631676,1,23,35500.15834593952,0
Bank_A,46,43047.87207257039,16189.551437050437,614.9696866100339,2,8,17817.86522701481,0
Bank_A,39,56896.40699453103,44392.544887613716,721.6344574936278,10,11,18301.820252052814,0
Bank_A,63,58323.23633294923,31356.4072081646,703.5148729626532,7,5,34838.25746951227,0
Bank_A,38,89996.35862441442,28009.889347739398,674.0368841757108,11,2,37418.829375797155,0
Bank_A,28,60064.398824069634,12377.548159101043,687.9513766234526,9,16,25578.863397653244,0
Bank_A,46,111116.30430994047,25263.27427683198,651.0634108802021,9,5,5880.103122120192,0
Bank_A,49,68036.09304787777,27987.948072199557,732.2646888631273,1,13,30627.574457904015,0
Bank_A,66,75176.90630075352,-3602.289166699069,656.0817257327885,12,13,25974.890072673763,0
Bank_A,24,71286.36855262537,34727.01788021466,574.1668752007436,6,22,56757.21541613956,0
Bank_A,59,73603.93866596455,9913.435564693973,578.5605163535329,11,14,31355.146830044254,0
Bank_A,21,52054.83011226816,736.746681778739,561.926101444739,4,12,32344.68472263626,0
Bank_A,27,29522.62293508908,21105.73020210018,591.0687414159249,11,22,43096.83417908668,0
Bank_A,51,54415.6290495401,20313.362269183723,754.1406863232065,10,15,53459.65434002131,1
Bank_A,60,59562.01138600697,9718.36869547706,801.8626533883365,1,4,20439.343453883223,1
Bank_A,69,70371.68914858706,15527.549506823121,662.4102663604276,8,8,33809.3297374184,0
Bank_A,43,103783.58437483423,26103.507192491106,666.0220802608505,11,11,30672.226360488756,0
Bank_A,67,66015.97013673084,13464.305934856844,624.1188862521874,6,18,31231.78628525333,0
Bank_A,66,40774.57473397083,19184.566115397138,557.2546858437487,1,5,19803.77391435326,0
