client_id,Machine_ID,Temperature_C,Vibration_Level,Load_Percentage,Operating_Hours,Failure
Factory_1,4174,69.4976551083605,3.2577165362252036,87.10791250617234,7265,0
Factory_1,1330,88.68450123265755,1.994518555127686,72.60794862554857,17023,0
Factory_1,4380,69.19121865976484,2.7374150964109263,71.42929751368789,29693,0
Factory_1,3904,65.75917162252895,3.4082225404756636,57.141860035762086,19431,0
Factory_1,1975,72.48956031914223,2.918066441752615,57.85505460268098,2267,0
Factory_1,4202,89.86980958047201,3.2085055548315875,92.48692785681735,15502,0
Factory_1,1600,68.99361310081196,2.8541531251033616,70.97440081655904,49555,0
Factory_1,1034,93.52278184508938,2.8852747730840216,85.84023369884184,4943,0
Factory_1,2021,102.7831304155244,3.5968198621411585,83.27957474080793,12534,0
Factory_1,4798,83.8176103894861,3.282232119277568,80.38251002122023,25276,0
Factory_1,1337,98.40746334103046,3.5354925935086845,81.44624718545387,40976,0
Factory_1,4884,79.19102105597644,2.6615389998470205,89.17514433261302,49190,0
Factory_1,3640,84.30584400771102,3.338883704836671,90.47660388816442,39952,1
Factory_1,1200,76.73602063664805,2.2459233552262585,96.4947046367723,24599,0
Factory_1,4645,86.79716344700701,2.550896030272161,92.52193128845643,6056,0
Factory_1,2485,77.9656138432897,3.233897376631576,91.04183526003887,34270,0
Factory_1,1870,73.49466141740217,2.5172211640525126,82.25733617165892,42523,0
Factory_1,2923,73.86578748653606,2.890164056081244,85.35668857267619,2678,0
Factory_1,2059,76.35753829476486,3.3040448310004806,90.57471966999081,44689,0
Factory_1,4060,78.60923377591135,3.1285584350281397,84.71769343794757,4627,0
Factory_1,2981,88.71862133549777,3.0877766469774164,75.36067180333134,24776,0
Factory_1,2306,81.73125502773975,3.636866810069778,75.6207099376157,10474,0
Factory_1,2479,61.90049312787526,4.471831708240642,63.55601307077967,1663,1
Factory_1,4445,84.14884321926012,3.1506614004748172,58.122246185198634,47576,0
Factory_1,2291,74.8144919548836,2.1632476890048884,63.91202248346514,28728,0
Factory_1,1001,65.0741382059681,2.670408848781761,80.05905956647103,25548,0
Factory_1,3432,69.252907923866,2.789250889830058,85.09731446279966,22919,0
Factory_1,4510,74.92619850055426,2.612331947021528,91.59711283833873,26342,0
Factory_1,4908,89.05205305878188,3.6961628767459516,66.79038772205347,26184,0
Factory_1,1186,75.76894948584571,3.853302476839231,93.10384123453069,7546,0
Factory_1,2534,81.49086732629107,2.3885632316623466,88.04504048573098,6759,0
Factory_1,3919,65.85309068738722,2.805867800511693,66.71731439256727,40384,0
Factory_1,2438,71.43254974231806,3.2780608992669826,95.65790916377986,42976,0
Factory_1,1880,80.26448161334696,2.8377545210855533,76.91199924356742,21932,1
Factory_1,4062,62.63049289121918,2.3397716934578616,87.82912348425347,7295,0
