client_id,Genre,Song_Length_sec,Tempo_BPM,Lyrics_Sentiment,Streams,Popularity
Region_Yoruba,Contemporary,232.93483984695553,129.3522905003133,positive,184506,1
Region_Yoruba,Contemporary,193.49906064658342,124.2754323094712,negative,12051,1
Region_Yoruba,Highlife,181.36620250959803,128.35688515262285,negative,118148,1
Region_Yoruba,Highlife,143.65569520725353,106.00458287504463,negative,30898,1
Region_Yoruba,Traditional,202.96446719253663,116.15719725928761,neutral,151605,1
Region_Yoruba,Gospel,234.23112242645226,72.06439702459339,neutral,193991,1
Region_Yoruba,Highlife,205.16965650311192,132.07596547833447,negative,177972,1
Region_Yoruba,Highlife,273.83518581109035,147.5907701356687,positive,164510,0
Region_Yoruba,Contemporary,160.69396954695145,138.20381067046998,negative,279929,1
Region_Yoruba,Contemporary,258.11068442099327,94.10614514786764,negative,43279,1
Region_Yoruba,Afrobeat,254.09190302264417,112.83519617123012,negative,494616,1
Region_Yoruba,Traditional,277.1403257925808,117.75497635915335,positive,494641,1
Region_Yoruba,Highlife,240.54078291678894,131.564596395197,negative,46036,1
Region_Yoruba,Gospel,194.18610440546564,127.95029578605669,positive,25310,1
Region_Yoruba,Traditional,273.6341731532637,117.34097621708769,neutral,338606,1
Region_Yoruba,Afrobeat,164.55823795340922,152.6609760698297,positive,25894,1
Region_Yoruba,Gospel,204.99864036621818,155.64240236955519,negative,316620,1
Region_Yoruba,Traditional,184.16016209068994,103.20369301652433,neutral,205499,1
Region_Yoruba,Contemporary,226.92987737050134,83.41783855986259,neutral,51743,1
Region_Yoruba,Highlife,146.43375678551726,124.09048877424888,negative,238904,0
Region_Yoruba,Traditional,190.2759475602237,170.2555279784591,positive,429828,1
Region_Yoruba,Traditional,162.4323612751894,120.64145699030261,neutral,132555,1
Region_Yoruba,Contemporary,262.59449091944805,170.64042329667387,negative,417576,1
Region_Yoruba,Highlife,251.2427960006138,141.84972397388373,positive,9072,1
